Episode,Rewards
1,-122
2,-89
3,-101
4,-79
5,-83
6,-114
7,-110
8,-84
9,-89
10,-99
11,-87
12,-111
13,-115
14,-119
15,-114
16,-115
17,-111
18,-137
19,-120
20,-116
21,-117
22,-112
23,-108
24,-120
25,-119
26,-111
27,-191
28,-113
29,-127
30,-125
31,-118
32,-116
33,-106
34,-114
35,-109
36,-119
37,-113
38,-110
39,-109
40,-119
41,-114
42,-122
43,-122
44,-122
45,-120
46,-120
47,-111
48,-134
49,-124
50,-106
51,-131
52,-118
53,-121
54,-121
55,-129
56,-121
57,-107
58,-118
59,-118
60,-107
61,-109
62,-111
63,-109
64,-118
65,-115
66,-112
67,-111
68,-120
69,-116
70,-116
71,-109
72,-116
73,-110
74,-122
75,-117
76,-116
77,-106
78,-115
79,-188
80,-111
81,-107
82,-106
83,-121
84,-127
85,-117
86,-116
87,-112
88,-118
89,-131
90,-135
91,-120
92,-123
93,-193
94,-119
95,-124
96,-102
97,-123
98,-106
99,-118
100,-125
101,-123
102,-126
103,-118
104,-127
105,-125
106,-114
107,-130
108,-125
109,-118
110,-100
111,-121
112,-124
113,-100
114,-120
115,-107
116,-121
117,-106
118,-134
119,-101
120,-117
121,-102
122,-101
123,-101
124,-101
125,-102
126,-106
127,-105
128,-104
129,-105
130,-103
131,-105
132,-105
133,-105
134,-103
135,-105
136,-106
137,-103
138,-108
139,-106
140,-102
141,-104
142,-105
143,-105
144,-105
145,-105
146,-103
147,-109
148,-102
149,-105
150,-103
151,-106
152,-107
153,-102
154,-189
155,-137
156,-136
157,-120
158,-102
159,-106
160,-129
161,-104
162,-108
163,-109
164,-107
165,-102
166,-103
167,-103
168,-103
169,-105
170,-105
171,-104
172,-107
173,-108
174,-101
175,-104
176,-103
177,-99
178,-103
179,-104
180,-121
181,-107
182,-102
183,-117
184,-105
185,-106
186,-116
187,-105
188,-104
189,-128
190,-103
191,-129
192,-101
193,-105
194,-104
195,-130
196,-101
197,-134
198,-103
199,-133
200,-145
201,-126
202,-125
203,-103
204,-105
205,-104
206,-105
207,-103
208,-139
209,-132
210,-115
211,-156
212,-137
213,-146
214,-122
215,-126
216,-122
217,-122
218,-127
219,-124
220,-132
221,-130
222,-121
223,-128
224,-117
225,-134
226,-119
227,-142
228,-126
229,-105
230,-226
231,-128
232,-189
233,-119
234,-110
235,-131
236,-103
237,-130
238,-156
239,-115
240,-136
241,-141
242,-126
243,-123
244,-105
245,-97
246,-120
247,-142
248,-111
249,-121
250,-110
251,-114
252,-113
253,-114
254,-117
255,-116
256,-109
257,-109
258,-112
259,-111
260,-113
261,-111
262,-109
263,-111
264,-118
265,-114
266,-111
267,-110
268,-111
269,-112
270,-110
271,-109
272,-109
273,-109
274,-110
275,-110
276,-109
277,-114
278,-111
279,-109
280,-106
281,-111
282,-107
283,-109
284,-105
285,-108
286,-106
287,-106
288,-132
289,-110
290,-132
291,-176
292,-122
293,-112
294,-119
295,-108
296,-132
297,-105
298,-107
299,-110
300,-109
301,-151
302,-106
303,-113
304,-141
305,-106
306,-108
307,-106
308,-99
309,-110
310,-97
311,-115
312,-111
313,-109
314,-111
315,-116
316,-107
317,-142
318,-110
319,-141
320,-127
321,-120
322,-120
323,-124
324,-133
325,-126
326,-113
327,-157
328,-116
329,-104
330,-140
331,-113
332,-115
333,-108
334,-116
335,-100
336,-102
337,-102
338,-131
339,-43
340,-73
341,-105
342,-110
343,-151
344,-135
345,-225
346,-167
347,-116
348,-116
349,-111
350,-112
351,-109
352,-114
353,-109
354,-60
355,-89
356,-86
357,-85
358,-105
359,-100
360,-96
361,-53
362,-126
363,-120
364,-33
365,-127
366,-33
367,-16
368,-112
369,-132
370,-5
371,-3
372,-14
373,-56
374,-14
375,30
376,-129
377,-86
378,-90
379,-109
380,-117
381,-110
382,-138
383,-130
384,-117
385,-120
386,-98
387,-99
388,-126
389,-117
390,-115
391,-129
392,-127
393,-116
394,-121
395,-128
396,-125
397,-135
398,-133
399,-121
400,-105
401,-121
402,-116
403,-132
404,-128
405,-96
406,-120
407,-92
408,-109
409,-134
410,-137
411,13
412,-124
413,-116
414,-120
415,-132
416,-37
417,-116
418,-98
419,-16
420,-11
421,25
422,17
423,-11
424,1
425,6
426,67
427,66
428,91
429,79
430,75
431,-131
432,-167
433,-162
434,-130
435,103
436,-112
437,89
438,-72
439,-121
440,-115
