Episode,Rewards
1,-143.8262719
2,-121.6225255
3,-183.3188062
4,-140.7034773
5,-163.8210057
6,-120.6349809
7,-135.9023942
8,-120.3819824
9,-117.34846
10,-161.1526137
11,-120.8275817
12,-139.3485599
13,-163.5405318
14,-118.0075023
15,-116.1417748
16,-142.240127
17,-138.5213351
18,-138.9188572
19,-119.1622075
20,-182.2252791
21,-132.4067585
22,-140.3569997
23,-117.4447967
24,-121.0003483
25,-116.6953498
26,-114.8742826
27,-116.0777232
28,-115.309058
29,-117.7291673
30,-138.1499598
31,-114.6806727
32,-137.5284406
33,-137.4687817
34,-115.0170831
35,-109.0433843
36,-108.4647947
37,-133.0369038
38,-127.0381578
39,-129.9284624
40,-104.263712
41,-127.3680195
42,-102.1900294
43,-100.4518535
44,-96.86607614
45,-94.56714885
46,-110.2816992
47,-93.7105431
48,-158.5814938
49,-87.2775722
50,-89.88445919
51,-88.86950719
52,-88.33594816
53,-90.99746091
54,-113.2746878
55,-109.837171
56,-88.35734134
57,-88.97428485
58,-91.07140896
59,-84.5674794
60,-85.69193937
61,-84.89131983
62,-82.41663818
63,-79.07607803
64,-86.90477027
65,-77.07977425
66,-106.3969632
67,-80.57120458
68,-80.57801484
69,-80.22557519
70,-76.76503244
71,-78.53125389
72,-76.4458214
73,-80.49943397
74,-71.9275411
75,-74.88426812
76,-77.81305975
77,-91.98687409
78,-81.45564618
79,-76.97547706
80,-80.26135936
81,-81.80385851
82,-95.23389679
83,-98.06428668
84,-88.92989993
85,-98.08689481
86,-97.41030408
87,-74.997532
88,-72.05288205
89,-75.8422584
90,-75.47592576
91,-73.64527991
92,-76.12301487
93,-95.62440877
94,-75.11868054
95,-66.46602612
96,-70.0497256
97,-109.7163792
98,-66.37584412
99,-68.60812755
100,-65.50577958
101,-58.62111186
102,-69.01577773
103,-64.75016263
104,-63.26709849
105,-87.30167712
106,-66.98214423
107,-60.39031168
108,-56.99536026
109,-59.26323379
110,-85.15704325
111,-78.68051073
112,-62.57661557
113,-59.28330875
114,-127.6389424
115,-80.57277106
116,-54.90656758
117,-74.49039058
118,-49.10300505
119,-53.37206762
120,-51.70133963
121,-53.13913539
122,-71.38152951
123,-48.16159399
124,-50.17127649
125,-52.17358745
126,-48.37918534
127,-44.92505015
128,-70.88712941
129,-88.79148738
130,-45.45426583
131,-41.52852518
132,-109.8484764
133,-70.75341449
134,-63.43710752
135,-94.55506344
136,-64.78161153
137,-46.53992846
138,-48.48425174
139,-42.44591129
140,-45.42550944
141,-49.05951185
142,-46.21988472
143,-39.37716654
144,-45.25302408
145,-39.30061985
146,-36.85756515
147,-57.3871523
148,-37.48071576
149,-40.70019317
150,-40.68324415
151,-36.19775033
152,-85.15860628
153,-97.00209552
154,-146.0742824
155,-124.3844674
156,-81.86776867
157,-231.0019412
158,-118.7484719
159,-166.1472741
160,-203.9830015
161,-189.5165009
162,-120.9807668
163,-121.5152131
164,-99.43345228
165,-32.00853394
166,-133.2338831
167,-54.12211879
168,-81.54347965
169,-82.22524525
170,-43.07355349
171,-87.13310982
172,-68.40865772
173,-89.86499403
174,-58.11153785
175,-41.72839741
176,-47.91516612
177,-81.83377402
178,-51.61589455
179,-31.82819397
180,-34.52528793
181,-29.86354414
182,-68.5669878
183,-29.2233574
184,-48.7049105
185,-44.56721999
186,-23.7353906
187,-18.96884998
188,-22.4805752
189,-18.98234628
190,-22.60280134
191,-24.01809192
192,-25.39204999
193,-23.49166135
194,-27.10897516
195,-23.22029965
196,-25.18488959
197,-28.49387662
198,-27.00611167
199,-20.42652351
200,-26.90335024
201,-47.86685038
202,-43.06739329
203,-45.11033911
204,-23.92726142
205,-34.10457049
206,-48.39297181
207,-25.22895997
208,-47.1762927
209,-29.01731479
210,-45.77778462
211,-22.05935225
212,-22.284576
213,-23.64235652
214,-23.28297762
215,-12.81834302
216,-33.23092225
217,-54.10268279
218,-33.7752729
219,-29.49986446
220,-17.14769407
221,-5.280432282
222,0.948555895
223,-35.31171845
224,-6.277778542
225,-31.24273675
226,-10.36716344
227,-21.70471057
228,-30.44839817
229,-19.14848415
230,-20.11063859
231,-14.44607545
232,-37.26939302
233,-4.22504233
234,-7.989540206
235,-6.281604677
236,-12.53106121
237,-4.608827035
238,3.747751685
239,-4.610028646
240,-8.366848003
241,4.841661848
242,0.604218587
243,-40.64001985
244,17.51177918
245,-17.79252751
246,12.7987162
247,-12.9841454
248,27.81340125
249,19.71563748
250,18.25350603
251,9.52579
252,7.65755515
253,-1.282574494
254,-28.11252321
255,-15.62355623
256,24.38704837
257,-30.28602861
258,-16.62963798
259,-17.90547742
260,-21.35488142
261,-6.937129499
262,-16.78804813
263,16.6421224
264,-36.91268596
265,34.89759296
266,32.26638776
267,-14.03788549
268,-8.664795346
269,-3.013755992
