Episode,Rewards
1,-916.6375692
2,-1117.261726
3,-676.8607194
4,-456.5458331
5,-569.6958173
6,-328.4324128
7,-285.6327021
8,-255.8943326
9,-250.6326968
10,-187.7744235
11,-185.8559931
12,-185.9591544
13,-168.5504161
14,-146.1016375
15,-123.006009
16,-125.7079397
17,-125.5125353
18,-118.3481838
19,-133.1863242
20,-117.5079778
21,-122.3610962
22,-134.4151837
23,-119.4152513
24,-124.7996838
25,-110.3080391
26,-113.6453304
27,-98.29590456
28,-100.6793599
29,-91.16160466
30,-80.31451279
31,-85.74836529
32,-76.9119402
33,-69.31072504
34,-63.00900969
35,-57.82972177
36,-56.31343242
37,-60.79630142
38,-57.84156672
39,-69.2726225
40,-54.58023056
41,-57.66956643
42,-44.15662091
43,-30.43551825
44,-31.37266316
45,-39.25330304
46,-23.82756879
47,-26.57615679
48,-24.6660665
49,-19.26748799
50,-18.15067076
51,-39.5730424
52,-11.9306424
53,-1.027324847
54,1.081474221
55,5.249764925
56,13.16657897
57,11.44572275
58,29.98868175
59,25.17438461
60,43.06485923
61,35.91508189
62,49.82514012
63,60.62302649
64,61.05499858
65,64.5478744
66,51.84702766
67,77.01562958
68,80.89940913
69,79.28565263
70,84.32013064
71,69.78961801
72,62.38957271
73,91.39079536
74,99.80169539
75,102.7704249
76,108.5238304
77,110.7961288
78,95.41714031
79,115.892282
80,122.8421077
81,116.3814334
82,122.7172813
83,115.9811078
84,129.2900776
85,137.6252231
86,128.4541311
87,140.3503272
88,132.7145764
89,127.6362934
90,133.2229369
91,122.5972565
92,129.1789738
93,143.7587391
94,145.8054127
95,139.5109823
96,137.1526641
97,99.53931088
98,132.8216953
99,148.0438066
100,145.1063538
101,124.7704266
102,160.9570605
103,133.0125834
104,145.7301567
105,160.2939283
106,157.4216604
107,147.7106874
108,108.5899723
109,152.5793405
110,153.5828561
111,155.6915664
112,162.9840836
113,145.6061534
114,149.4390146
115,131.0604561
116,148.400354
117,149.1578416
118,151.1004956
119,157.5745401
120,153.8499833
121,173.0251746
122,155.3584097
123,180.5403032
124,179.0155333
125,162.4457401
126,182.0338328
127,189.5838705
128,188.5126386
129,182.9849913
130,206.8498492
131,181.8527004
132,181.5741535
133,207.4475942
134,200.9868089
135,201.612141
136,211.9957704
137,204.0513864
138,203.7170702
139,218.9823539
140,211.2856869
141,193.8278962
142,227.7171313
143,228.5003397
144,220.5794956
145,218.0595901
146,232.3600128
147,210.5779216
148,227.3150928
149,227.094379
150,224.1782251
151,234.0494072
152,233.5716862
153,244.4364243
154,231.4126619
155,242.2433119
156,230.8345104
157,244.9424377
158,241.2793757
159,242.951396
160,246.4631669
161,246.4944934
162,238.2821435
163,248.1299776
164,241.0353554
165,251.2355386
166,230.3931223
167,245.6792942
168,249.29736
169,254.5522459
170,259.1666357
171,248.0601419
172,254.1605388
173,255.762961
174,260.8809957
175,268.2964039
176,258.9780591
177,261.881566
178,270.0748617
179,262.5650933
180,260.118078
181,241.313394
182,263.72612
183,265.8860918
184,255.3081655
185,267.7514632
186,261.2583571
187,257.3213783
188,267.5576143
189,267.5855625
190,263.1529112
191,256.2995134
192,272.0188502
193,260.7770942
194,251.29757
195,264.5501412
196,259.6513999
197,277.5158397
198,269.0152915
199,257.4147258
200,266.3549849
201,267.3821634
202,268.8890203
203,278.7007019
204,276.0646283
205,255.1503798
206,264.4768548
207,268.7290901
208,269.3952699
209,278.7960612
210,280.7265577
211,285.875733
212,282.6865881
213,278.4409671
214,261.5653292
215,274.0709232
216,286.7998224
217,273.2117055
218,285.2505307
219,290.4061688
220,283.0960626
221,277.9545454
222,288.6070845
223,279.1597402
224,272.1504295
225,283.4009596
226,285.3470465
227,290.2772332
228,291.5015086
229,270.7171245
230,294.8679605
231,256.1021626
232,267.2491065
233,288.2857751
234,289.5353835
235,291.7591699
236,283.754495
237,281.8190189
238,292.3862752
239,297.2664374
240,291.6668212
241,282.8273366
242,290.6271564
243,285.4284749
244,290.2292142
245,280.2916943
246,248.5033661
247,292.9885934
248,286.1853907
249,264.5453554
250,289.3817965
251,285.0969583
252,264.2127898
253,290.3192564
254,270.5561194
255,299.406389
256,303.8447503
257,291.8178881
258,273.5233184
259,274.2401416
260,300.3905216
261,275.0795152
262,287.1095629
263,289.179804
264,296.0399189
265,292.2243918
266,286.9096813
267,286.4434688
268,299.068259
269,306.1670984
270,306.0529128
271,306.2847474
272,305.7467264
273,314.7136853
274,305.2115498
275,312.9209991
276,313.7910448
277,306.4772263
278,310.2043613
279,306.5985998
280,301.08756
281,312.7468454
282,312.1705979
283,310.4422999
284,319.6177885
285,324.6132842
286,307.2095827
287,317.7790219
288,315.4666002
289,301.3372132
290,321.5692638
291,309.0274302
292,309.3485761
293,305.3972236
294,307.0774707
295,311.7134294
296,320.9644827
297,307.3566421
298,321.581331
299,294.24796
300,302.817532
301,281.6172487
302,274.9300742
303,312.7484905
304,321.0278912
305,306.600767
306,310.5739984
307,313.6683616
308,291.4606125
309,322.4771457
310,309.3061352
311,301.8698458
312,301.0407734
313,304.1877654
314,296.186162
315,316.813003
316,295.7072575
317,290.5190344
318,292.1748893
319,314.3076711
320,308.9658125
321,312.1540013
322,290.050845
323,293.7548342
324,305.8751239
325,297.6122575
326,315.5527196
327,291.5646172
328,310.9190146
329,310.16881
330,298.3891616
331,307.893568
332,304.1830353
333,308.0898178
334,302.060434
335,323.7352869
336,312.1194199
337,317.6608462
