Episode,Rewards
1,-953.2481447
2,-895.9198881
3,-484.9346702
4,-368.0419759
5,-278.4657303
6,-270.3307185
7,-168.2276132
8,-187.2681505
9,-179.8860429
10,-203.8477719
11,-117.9727184
12,-143.9853492
13,-125.6790723
14,-177.4954222
15,-157.4656705
16,-116.9765135
17,-104.0705503
18,-123.8286091
19,-116.3333969
20,-112.2997029
21,-99.68153456
22,-96.76730979
23,-83.52258537
24,-102.3940259
25,-86.60153066
26,-91.69123755
27,-78.70599939
28,-77.09554725
29,-71.88698841
30,-78.15409216
31,-86.82731007
32,-73.53107235
33,-51.43998262
34,-40.17453497
35,-40.15516924
36,-26.46891786
37,-57.07587811
38,-22.64641329
39,-14.68663542
40,-12.90352293
41,3.624074642
42,-9.789902243
43,1.946332034
44,22.6520964
45,6.336965768
46,27.56002809
47,30.25462134
48,33.80144556
49,39.2053181
50,51.13676065
51,48.74153728
52,55.07377411
53,76.27590125
54,42.87973328
55,62.93932729
56,86.98573804
57,102.0008138
58,82.69264294
59,84.84678185
60,87.94366156
61,112.5652502
62,106.8149435
63,121.972219
64,126.5449508
65,122.1186061
66,133.0112111
67,117.8197401
68,125.0976088
69,119.6292971
70,119.2062052
71,129.5514688
72,126.9547613
73,139.1907071
74,120.4429185
75,136.2402895
76,137.1504888
77,148.4551502
78,140.4097518
79,132.8109803
80,150.3198721
81,131.1167212
82,135.2999878
83,159.3296975
84,154.0221762
85,148.4894084
86,142.4325571
87,166.4889112
88,154.9624031
89,159.8971312
90,164.8211465
91,152.257806
92,169.6776042
93,177.1717434
94,163.1291768
95,170.3911359
96,147.3566449
97,168.85701
98,144.6045784
99,170.3419704
100,173.9109294
101,178.7919872
102,154.945805
103,174.2538699
104,139.6367204
105,166.5488317
106,180.8733242
107,189.1053639
108,145.0222455
109,171.693207
110,170.8626053
111,173.1172954
112,191.3805313
113,183.7738576
114,199.2645735
115,183.821316
116,191.3818215
117,201.7559561
118,207.1944807
119,210.4426014
120,208.9507941
121,200.4541632
122,175.1202527
123,212.1447527
124,204.1838225
125,218.463913
126,226.2223849
127,228.4327424
128,223.4346069
129,207.0958004
130,196.2968728
131,205.0269047
132,239.9144865
133,229.0638291
134,240.2609792
135,239.3262774
136,255.171706
137,245.8661906
138,212.0677692
139,227.335476
140,259.133045
141,254.3763263
142,246.958508
143,239.3050486
144,240.0386483
145,249.5551528
146,236.7386723
147,227.1189052
148,232.2160834
149,242.4725733
150,236.8098563
151,244.737635
152,240.4604162
153,230.9091951
154,247.3978813
155,196.4254572
156,230.59565
157,253.7901417
158,266.605367
159,250.9673565
160,240.574555
161,252.8937216
162,253.6945827
163,270.8511155
164,226.4467085
165,252.6149815
166,251.7110944
167,237.4640811
168,210.1158498
169,256.5175264
170,227.4462284
171,228.9577746
172,227.5537189
173,237.9318785
174,246.3454491
175,253.1068153
176,250.7769469
177,266.0099174
178,261.8881009
179,249.3625584
180,267.0314126
181,253.08817
182,239.3173026
183,260.0792257
184,254.5092671
185,260.0928369
186,240.0575962
187,244.8765622
188,252.9157428
189,259.7554194
190,247.3012316
191,251.0796873
192,272.7661139
193,246.2985464
194,259.2567545
195,254.3853603
196,233.8530093
197,255.675698
198,254.9239398
199,241.9704139
200,259.1254178
201,272.1852362
202,264.1137214
203,247.5764128
204,247.8899348
205,246.6687262
206,267.8768888
207,262.2893544
208,258.9440611
209,268.9578907
210,260.2610014
211,265.9490288
212,269.8984659
213,257.9325787
214,266.4219207
215,282.1020249
216,281.9552925
217,245.6032487
218,242.83111
219,272.0906569
220,266.5718057
221,279.3036372
222,268.5368094
223,278.5383666
224,258.7949935
225,278.3004141
226,275.1287458
227,255.2643932
228,260.1247879
229,277.6471941
230,264.8399021
231,269.3094185
232,274.338138
233,284.0880289
234,279.4961169
235,268.725002
236,270.2609781
237,262.4345291
238,262.0612588
239,286.223847
240,295.1460346
241,265.7078867
242,285.7718339
243,287.1409192
244,286.1507734
245,274.4186498
246,282.1118789
247,288.8160458
248,284.4021037
249,286.2796615
250,287.0351631
251,288.7892789
252,303.7602686
253,294.7188249
254,284.0713589
255,277.8986219
256,289.1360182
257,295.8811073
258,286.5103979
259,271.6468948
260,288.8080905
261,295.3435382
262,280.8125906
263,287.5122204
264,291.3074679
265,268.342593
266,294.6535793
267,263.0714619
268,265.6231673
269,280.3713643
270,243.4985147
271,272.7685318
272,289.8402068
273,269.7523023
274,251.1325141
275,265.6759273
276,289.0583596
277,308.4145772
278,300.6998531
279,298.4299873
280,270.7132903
281,294.478122
282,296.4889527
283,286.4014598
284,286.865409
285,285.0921501
286,281.0508071
287,290.3731759
288,291.6856016
289,282.9659703
290,286.8130254
291,257.5008088
292,277.2521409
293,288.4593676
294,271.7288273
295,304.9537773
296,289.9493501
297,300.5029395
298,258.467543
299,275.4455716
300,278.3151405
301,290.0522403
302,295.902365
303,280.5617707
304,278.2881903
305,286.5016857
306,305.1430363
307,277.2854957
308,304.8459776
309,274.4821385
310,296.7982112
311,295.8433536
312,295.4499571
313,278.2583592
314,299.9285459
315,275.3843711
316,290.4059361
317,300.0744337
318,283.3140296
319,300.2463621
320,298.7624848
321,286.8484172
322,302.5766105
323,305.9935331
324,288.1537526
325,295.2609816
326,311.1796189
327,296.331773
328,311.7565048
329,308.4769359
330,294.9119713
331,290.3658487
332,289.9718792
333,305.4337694
334,300.5167761
335,300.7260972
336,298.8695886
337,310.3297303
338,312.8868898
339,312.8625433
340,304.5690031
341,325.5942276
342,290.8891013
343,287.3173091
344,321.421456
345,318.543574
346,308.2855688
347,306.0344634
348,300.9417846
349,314.5074549
350,302.9711416
351,327.1254252
352,324.2385187
353,312.680261
354,308.7308331
355,321.6302598
356,301.9720127
357,303.5177774
358,302.9909344
359,304.3258766
360,309.3018928
361,282.763926
362,299.8971479
363,321.0483898
364,303.4244839
365,284.6227192
366,318.1941775
367,321.6877867
368,317.9439028
369,315.8899484
370,316.9749162
371,303.6533617
372,318.134847
373,334.700944
374,297.0563807
375,302.6664018
376,297.0802822
377,305.5243544
378,308.4871477
379,330.5720007
380,322.1304596
381,296.513066
382,308.2896194
383,307.6276304
384,322.2916779
385,327.9731632
386,329.6640476
